gameId,teamId,teamCity,teamName,teamTricode,teamSlug,personId,firstName,familyName,nameI,playerSlug,position,comment,jerseyNum,minutes,speed,distance,reboundChancesOffensive,reboundChancesDefensive,reboundChancesTotal,touches,secondaryAssists,freeThrowAssists,passes,assists,contestedFieldGoalsMade,contestedFieldGoalsAttempted,contestedFieldGoalPercentage,uncontestedFieldGoalsMade,uncontestedFieldGoalsAttempted,uncontestedFieldGoalsPercentage,fieldGoalPercentage,defendedAtRimFieldGoalsMade,defendedAtRimFieldGoalsAttempted,defendedAtRimFieldGoalPercentage
0022400341,1610612743,Denver,Nuggets,DEN,nuggets,1631212,Peyton,Watson,P. Watson,peyton-watson,F,,8,25:45,4.74,2.18,1,4,5,30,0,0,24,2,2,3,0.667,0,2,0.0,0.4,4,5,0.8
0022400341,1610612743,Denver,Nuggets,DEN,nuggets,1629008,Michael,Porter Jr.,M. Porter Jr.,michael-porter-jr,F,,1,36:25,4.15,2.71,5,5,10,51,0,2,33,6,4,8,0.5,1,6,0.167,0.356,3,3,1.0
0022400341,1610612743,Denver,Nuggets,DEN,nuggets,203999,Nikola,Jokić,N. Jokić,nikola-jokić,C,,15,38:39,3.95,2.73,9,12,21,123,0,1,75,8,13,24,0.542,9,14,0.643,0.563,3,6,0.5
0022400341,1610612743,Denver,Nuggets,DEN,nuggets,1631128,Christian,Braun,C. Braun,christian-braun,G,,0,37:40,4.34,2.93,5,1,6,46,0,1,29,0,4,8,0.5,3,6,0.5,0.5,2,3,0.667
0022400341,1610612743,Denver,Nuggets,DEN,nuggets,201566,Russell,Westbrook,R. Westbrook,russell-westbrook,G,,4,32:08,4.14,2.38,3,11,12,81,0,0,64,12,1,2,0.5,2,4,0.5,0.5,2,3,0.667
0022400341,1610612743,Denver,Nuggets,DEN,nuggets,1631124,Julian,Strawther,J. Strawther,julian-strawther,,,3,32:47,4.38,2.59,2,4,6,42,0,0,26,2,3,6,0.5,4,7,0.571,0.538,1,1,1.0
0022400341,1610612743,Denver,Nuggets,DEN,nuggets,1629618,Jalen,Pickett,J. Pickett,jalen-pickett,,,24,15:45,4.6,1.3,2,4,6,30,1,0,27,2,0,0,0.0,0,1,0.0,0.0,1,2,0.5
0022400341,1610612743,Denver,Nuggets,DEN,nuggets,1641816,Hunter,Tyson,H. Tyson,hunter-tyson,,,5,11:34,4.8,1.01,4,4,6,11,0,0,7,0,0,0,0.0,0,2,0.0,0.0,3,3,1.0
0022400341,1610612743,Denver,Nuggets,DEN,nuggets,201599,DeAndre,Jordan,D. Jordan,deandre-jordan,,,6,9:18,3.52,0.59,2,3,5,18,0,0,13,2,0,1,0.0,0,0,0.0,0.0,1,1,1.0
0022400341,1610612743,Denver,Nuggets,DEN,nuggets,1641725,Trey,Alexander,T. Alexander,trey-alexander,,DNP - Coach's Decision,23,0:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0
0022400341,1610612743,Denver,Nuggets,DEN,nuggets,1641790,PJ,Hall,P. Hall,pj-hall,,DNP - Coach's Decision,13,0:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0
0022400341,1610612743,Denver,Nuggets,DEN,nuggets,1630192,Zeke,Nnaji,Z. Nnaji,zeke-nnaji,,DNP - Coach's Decision,22,0:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0
0022400341,1610612764,Washington,Wizards,WAS,wizards,1641731,Bilal,Coulibaly,B. Coulibaly,bilal-coulibaly,F,,0,40:20,4.45,3.21,6,4,10,53,1,0,42,5,2,3,0.667,0,6,0.0,0.222,5,7,0.714
0022400341,1610612764,Washington,Wizards,WAS,wizards,1630551,Justin,Champagnie,J. Champagnie,justin-champagnie,F,,9,36:50,4.74,3.13,7,5,12,60,0,0,43,1,3,3,1.0,6,10,0.6,0.691,5,7,0.714
0022400341,1610612764,Washington,Wizards,WAS,wizards,202685,Jonas,Valančiūnas,J. Valančiūnas,jonas-valančiūnas,C,,17,31:48,4.03,2.29,5,12,16,79,1,1,55,5,1,4,0.25,7,11,0.636,0.533,8,11,0.727
0022400341,1610612764,Washington,Wizards,WAS,wizards,1629673,Jordan,Poole,J. Poole,jordan-poole,G,,13,40:13,4.06,2.92,2,5,7,99,0,0,59,8,2,5,0.4,10,21,0.476,0.462,5,5,1.0
0022400341,1610612764,Washington,Wizards,WAS,wizards,1642267,Bub,Carrington,B. Carrington,bub-carrington,G,,8,34:08,4.45,2.74,4,7,10,87,0,0,71,6,1,5,0.2,3,8,0.375,0.307,1,2,0.5
